sector,region,size,multiestablishment_firm,legal_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,fte_started,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,percentage_sales_main_product,sales,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,kpis,production_targets,performance_bonus,main_market,competitors,foreign_technology,informal_competitors,product_innovation,product_inn_market,process_innovation,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,security,losses_fraudulent_transactions,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,manager_timespent_regulations,tax_inspection,online_tax_payment,government_contract,percentage_informal_payments,import_lic,operating_licence,public_support,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value,age,exp,innovation
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,2,35,0,57,1,1,0,0,0,0,0,0,1,100,10000000.0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,0,0,1,National,12.0,0,0,1,0,1,0,0.0,0,100,100,0,0,1,100,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0.0,0,0,1,8,9,1,7,3,6,4,2,5,17,14,2,5,1,7,3,6,4,40,0,1,2,5,1,7,3,6,4,10,9,8,1,13,6,4,14,11,12,15,7,3,2,5,0,0,52.0,0.0,23.0,0,1
Manufacturing,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,5,35,0,51,1,1,0,0,0,0,0,0,1,100,550000.0,75,0,0,25,100,0,0,0,100,0,0,0,0,1,0,1,0,Local,6.0,0,1,1,1,1,0,0.0,0,0,0,0,1,0,95,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,1.0,0,0,0,1,8,4,3,9,2,7,5,6,5,5,5,4,6,3,7,2,1,4,0,1,5,4,6,3,7,2,1,13,14,1,3,9,15,7,11,12,4,5,6,10,8,2,235000,15000,0.0,100000.0,48.0,0,1
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,1,3,0,0,0,0,0,0,1,5,36,0,57,2,1,0,1,0,0,0,0,1,100,700000.0,0,50,50,0,100,0,0,0,40,60,1,0,1,0,0,1,0,National,3.0,0,0,0,0,0,0,0.0,1,100,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0.0,0,0,1,1,5,7,2,8,3,6,9,4,6,4,1,5,4,2,7,3,6,0,1,1,1,5,4,2,7,3,6,1,10,5,12,8,3,7,9,4,11,13,14,15,2,6,210000,15000,4.0,970000.0,3.0,0,0
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,20,0,1,0,0,0,0,40,0,1,1,21,0,51,2,1,0,0,0,0,0,0,1,99,850000.0,0,100,0,0,5,80,15,0,75,25,1,0,0,0,0,1,1,National,0.0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0.0,0,0,1,8,9,7,5,3,4,1,2,6,7,7,2,5,7,1,3,4,6,0,0,0,2,5,7,1,3,4,6,8,12,7,11,3,13,1,2,6,14,5,9,15,10,4,280000,3000,12.0,180000.0,26.0,1,0
Other services,North Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,4,20,0,50,2,1,0,0,1,0,0,0,1,100,600000.0,0,100,0,0,80,0,20,0,0,100,0,1,1,1,0,0,0,National,4.0,0,1,0,0,0,0,0.0,0,66,66,0,1,0,0,50,0,0,50,1,1,1,1,0,1,0,50,1,1,1,0.0,0,0,1,5,4,7,3,1,9,8,6,2,7,6,5,1,7,3,6,2,4,0,0,1,5,1,7,3,6,2,4,14,10,7,3,11,9,13,12,2,4,1,6,8,15,5,150000,15000,0.0,0.0,5.0,1,0
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,0,1,0,0,0,0,0,0,1,0,30,0,53,2,1,0,0,0,1,0,0,1,70,895000.0,0,100,0,0,100,0,0,0,100,0,1,1,1,1,0,0,0,Local,0.0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,100,0,0,0,0,0,1,1,1,0,0,1,5,0,1,1,0.0,0,0,1,8,5,2,3,1,9,6,4,7,7,9,4,7,5,3,1,2,6,0,0,0,4,7,5,3,1,2,6,13,5,10,3,15,1,11,4,7,9,12,6,14,8,2,370000,10000,1.0,225000.0,42.0,0,0
Other services,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,1,2,0,0,0,0,50,0,0,0,15,0,52,1,1,0,0,0,0,0,0,1,50,2017000.0,0,0,0,100,100,0,0,0,0,100,1,0,1,0,0,0,0,National,12.0,0,0,1,1,1,1,20000.0,0,100,100,0,1,0,100,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0.0,0,0,0,9,5,1,7,8,3,6,2,4,10,10,4,2,6,5,3,7,1,0,0,1,4,2,6,5,3,7,1,9,15,14,10,8,3,6,2,11,13,12,4,7,1,5,451000,20000,24.0,0.0,123.0,0,1
Manufacturing,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,13,14,1,36,2,1,0,0,0,1,0,0,1,50,807000.0,80,20,0,0,100,0,0,0,20,80,1,0,0,1,0,1,0,National,3.0,0,0,1,1,1,0,0.0,0,100,100,0,0,0,100,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0.0,0,0,0,5,6,8,9,2,4,3,7,1,8,8,1,6,5,7,2,4,3,0,1,0,1,6,5,7,2,4,3,5,11,12,10,2,13,3,7,9,8,15,14,4,1,6,427000,12000,25.0,150000.0,18.0,0,1
Manufacturing,East Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,2,2,0,23,2,1,1,0,0,0,0,0,1,100,120000.0,0,100,0,0,85,15,0,0,100,0,1,0,0,0,1,1,0,Local,20.0,0,0,1,1,1,1,2000.0,0,0,0,0,0,0,70,0,0,0,30,1,1,1,0,0,0,0,2,0,1,0,0.0,0,0,0,3,1,2,7,6,5,8,4,9,4,0,3,7,2,5,6,4,1,5,0,1,3,7,2,5,6,4,1,11,15,2,12,6,14,8,10,9,5,3,13,7,1,4,70000,5000,0.0,30000.0,2.0,1,1
Manufacturing,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,1,50,0,1,2,1,1,39,1,1,1,1,1,1,0,0,1,100,700000.0,10,0,0,90,85,5,10,0,80,20,0,1,1,1,1,0,0,National,5500.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0.0,0,0,0,6,8,4,7,2,3,5,1,9,5,3,6,7,4,1,2,3,5,0,0,1,6,7,4,1,2,3,5,6,8,11,14,10,3,13,1,15,2,12,4,5,7,9,335000,22000,0.0,175000.0,6.0,1,0
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,3,28,0,48,1,1,0,0,0,0,0,0,1,90,1900000.0,100,0,0,0,95,5,0,0,65,35,0,0,0,0,0,1,0,National,1.0,0,0,1,0,1,1,25000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0.0,0,0,0,3,6,1,4,9,8,7,5,2,8,8,2,3,5,1,6,4,7,1,0,1,2,3,5,1,6,4,7,1,6,2,4,12,11,15,14,10,3,8,13,9,5,7,395000,15000,26.0,1200000.0,51.0,1,1
Manufacturing,West Netherlands,Small,0,Sole proprietorship,100,1,1,0,0,0,0,100,0,1,1,40,0,57,2,1,1,1,0,1,0,0,1,100,600000.0,0,0,0,100,100,0,0,0,100,0,0,1,1,0,0,0,0,National,0.0,0,0,1,0,1,0,0.0,0,90,0,0,0,0,0,50,0,50,0,1,1,1,1,0,0,1,10,0,1,0,0.0,0,0,0,8,5,2,6,4,1,7,3,9,5,5,3,5,2,6,4,1,7,0,0,0,3,5,2,6,4,1,7,8,15,2,10,13,11,7,3,9,6,12,1,14,4,5,150000,12000,8.0,400000.0,51.0,0,1
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,0,0,1,0,2,0,49,2,1,0,1,0,0,0,0,1,80,1374000.0,0,95,0,5,93,0,7,0,100,0,1,1,1,1,1,1,0,National,5500.0,0,0,1,0,1,0,0.0,0,0,0,0,1,0,90,10,0,0,0,0,1,1,0,1,1,1,10,0,1,1,0.0,0,0,1,4,1,6,7,8,9,3,5,2,10,0,4,5,6,7,2,1,3,0,1,0,4,5,6,7,2,1,3,4,14,6,15,10,9,3,5,11,12,13,8,2,1,7,785000,14000,6.0,17000.0,36.0,1,1
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,0,1,0,0,0,0,50,0,1,4,2,0,30,2,1,1,0,0,0,0,0,1,100,950000.0,15,80,0,5,100,0,0,0,50,50,0,0,0,0,0,1,0,Local,5500.0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,100,1,1,0,0,1,0,1,5,0,1,0,0.0,0,0,0,3,1,9,8,2,5,7,6,4,3,4,3,6,4,1,2,5,7,5,0,0,3,6,4,1,2,5,7,3,1,9,8,11,5,7,6,12,15,13,14,2,10,4,0,0,0.0,0.0,9.0,0,0
Other services,West Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,51,1,1,0,0,0,1,100,0,1,0,40,0,58,1,1,0,1,0,0,0,0,1,85,17100000.0,0,100,0,0,25,10,65,0,66,34,0,0,0,0,0,1,0,Local,18.0,1,0,0,0,0,0,0.0,0,100,100,1,0,0,100,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0.0,1,0,0,3,8,9,5,6,7,1,4,2,29,31,3,5,2,1,6,7,4,2,0,1,3,5,2,1,6,7,4,11,8,14,5,6,7,13,12,15,10,3,4,1,9,2,1600000,10000,104.0,0.0,40.0,1,0
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,2,0,0,0,1,100,0,1,1,13,1,42,3,0,0,0,0,0,0,0,1,80,1800000.0,0,0,0,100,85,0,15,0,80,20,1,1,0,1,1,1,0,National,5500.0,0,0,1,1,1,1,800000.0,0,0,0,0,1,1,100,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0.0,0,0,0,3,5,8,9,2,1,6,4,7,6,4,3,4,6,5,2,7,1,6,1,1,3,4,6,5,2,7,1,15,8,6,13,2,1,12,11,7,14,4,10,9,5,3,400000,10000,26.0,1500000.0,13.0,1,1
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,0,1,1,2,25,0,63,2,1,1,0,0,0,0,0,1,50,1500000.0,100,0,0,0,80,5,15,0,0,0,1,0,0,0,0,1,0,National,5500.0,0,0,1,0,1,1,3000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,20,0,1,0,0.0,0,0,0,9,5,1,7,8,4,2,6,3,7,7,5,6,1,7,3,4,2,0,0,1,5,6,1,7,3,4,2,9,13,14,7,11,15,2,6,12,5,8,10,1,3,4,500000,10000,8.0,300000.0,29.0,1,1
Manufacturing,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,2,43,0,64,1,1,0,0,1,0,0,0,1,100,3700000.0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,1,0,National,1.0,0,0,1,1,1,1,50000.0,0,100,0,1,0,0,90,0,10,0,0,1,1,1,0,0,0,1,1,0,1,0,0.0,0,0,0,3,4,7,9,1,2,6,8,5,6,13,3,4,7,5,6,2,1,4,1,1,3,4,7,5,6,2,1,3,13,15,1,8,11,6,14,5,2,12,4,9,10,7,770000,58000,0.0,2500000.0,43.0,0,1
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,1,100,0,1,1,10,0,51,3,1,0,0,0,0,0,0,1,80,600000.0,0,0,0,100,60,0,40,0,20,80,1,0,0,0,1,1,0,International,4.0,0,1,1,1,1,1,80000.0,0,0,0,0,1,0,70,0,0,30,0,0,1,0,0,1,0,0,2,0,1,0,1.0,0,0,0,3,1,9,2,7,5,6,4,8,9,8,3,1,4,2,7,5,6,0,0,1,3,1,4,2,7,5,6,11,10,14,2,7,5,6,12,8,13,15,4,1,9,3,200000,0,13.0,10000.0,12.0,1,1
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,0,50,0,1,2,25,0,48,2,1,1,1,0,0,0,0,1,60,2800000.0,5,15,15,65,35,0,65,0,10,90,0,0,0,0,0,1,0,International,4.0,0,0,1,1,1,0,0.0,0,0,0,0,1,1,90,0,0,10,0,1,1,0,0,0,0,1,3,0,1,1,1.0,0,0,0,4,5,1,2,8,3,6,9,7,9,8,4,5,1,2,7,3,6,3,1,1,4,5,1,2,7,3,6,4,5,14,2,8,3,10,13,11,6,12,15,9,1,7,340000,4000,52.0,170000.0,15.0,1,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,3,0,0,0,0,100,0,1,1,33,0,61,1,1,0,0,1,1,0,0,1,90,315000.0,0,100,0,0,100,0,0,0,100,0,1,0,0,1,1,1,0,National,5500.0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,100,0,0,0,0,0,1,0,1,0,1,1,5,0,1,0,0.0,0,0,1,8,1,3,9,2,4,6,7,5,6,8,3,5,7,1,2,4,6,0,1,1,3,5,7,1,2,4,6,15,6,3,13,1,4,14,12,11,2,5,7,9,10,8,200000,1000,4.0,0.0,12.0,0,0
Other services,North Netherlands,Small,0,Partnership,100,1,1,0,0,0,0,100,1,1,3,30,0,55,1,1,0,0,0,0,0,0,1,100,1300000.0,0,100,0,0,98,1,1,0,100,0,0,1,0,0,0,0,0,National,5500.0,0,0,1,0,1,0,0.0,0,100,100,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,10,0,1,0,0.0,0,0,0,5,8,2,3,9,1,6,4,7,8,9,5,4,2,3,6,7,1,0,1,0,5,4,2,3,6,7,1,10,8,2,11,14,1,6,12,15,5,3,13,4,9,7,545000,2000,0.0,0.0,28.0,1,1
Other services,West Netherlands,Small,1,Partnership,50,1,1,0,0,0,0,100,0,1,6,46,0,60,0,1,0,0,0,0,0,0,1,75,425000.0,1,0,0,99,100,0,0,0,15,85,0,0,1,0,0,0,0,National,0.0,0,0,0,0,0,0,0.0,0,100,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,1,5,0,1,0,0.0,0,0,1,9,3,8,1,6,5,2,7,4,3,5,4,3,6,1,7,5,2,5,0,0,4,3,6,1,7,5,2,10,3,8,15,12,5,2,7,4,11,9,13,14,6,1,100000,6000,4.0,0.0,21.0,0,0
Manufacturing,North Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,7,35,0,51,1,1,0,0,1,0,0,0,1,80,1500000.0,20,30,10,40,50,20,30,0,70,30,0,0,0,0,0,0,0,National,4.0,0,0,0,0,0,0,0.0,0,100,100,1,0,0,0,100,0,0,0,0,1,1,0,0,0,1,20,0,1,0,0.0,0,0,0,2,4,7,1,8,3,9,5,6,7,6,2,1,7,5,4,3,6,0,0,1,2,1,7,5,4,3,6,2,12,15,1,10,3,13,5,11,8,14,4,9,6,7,200000,1700,24.0,3200000.0,60.0,1,0
Other services,West Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,0,20,100,0,0,0,100,0,1,2,7,0,43,1,1,1,1,0,0,0,0,1,100,1600000.0,80,20,0,0,90,0,10,0,0,100,0,0,1,0,1,1,1,National,15.0,0,0,1,1,1,0,0.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0.0,0,0,0,9,4,7,6,2,8,1,3,5,7,11,6,4,7,5,2,3,1,1,1,1,6,4,7,5,2,3,1,15,4,1,13,11,8,7,14,5,10,12,2,6,3,9,420000,0,0.0,0.0,78.0,1,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,8,40,0,62,1,1,0,0,0,0,0,0,1,70,2000000.0,95,2,3,0,95,5,0,0,10,90,1,0,0,0,1,1,0,National,5500.0,0,1,1,0,1,0,0.0,0,100,100,0,1,0,0,50,0,15,35,1,1,1,1,1,1,1,1,0,1,1,0.0,0,0,0,7,3,9,4,5,2,6,8,1,8,8,7,3,1,4,5,2,6,0,0,1,7,3,1,4,5,2,6,7,13,1,4,5,2,12,10,8,11,14,6,15,9,3,300000,12000,8.0,0.0,22.0,1,1
Retail services,East Netherlands,Small,0,Partnership,50,1,1,0,0,0,0,100,0,0,2,20,0,37,1,1,0,0,0,0,0,0,1,70,800000.0,75,0,25,0,100,0,0,0,60,40,0,0,1,0,0,1,0,Local,10.0,0,1,0,0,0,0,0.0,0,100,100,0,1,0,100,0,0,0,0,1,1,1,1,0,0,1,10,0,1,0,0.0,0,0,1,9,3,1,2,7,5,4,8,6,6,6,6,3,1,2,7,5,4,10,1,1,6,3,1,2,7,5,4,6,3,1,2,7,12,4,14,5,11,13,9,15,8,10,120000,12000,12.0,0.0,120.0,0,0
Manufacturing,North Netherlands,Small,0,Sole proprietorship,100,1,1,0,0,0,0,100,0,1,2,30,0,57,1,1,0,0,0,0,0,0,1,60,600000.0,90,0,10,0,100,0,0,0,100,0,0,0,0,0,0,0,0,Local,3.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,20,70,10,0,0,1,1,1,1,0,0,1,2,0,1,0,0.0,0,0,1,7,8,3,6,4,9,2,1,5,4,4,7,5,3,6,1,4,2,6,0,0,7,5,3,6,1,4,2,7,1,13,6,12,9,14,5,15,11,8,4,3,2,10,150000,15000,4.0,250000.0,26.0,0,0
Other services,South Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,5,4,1,50,3,0,1,0,1,0,0,0,1,100,585000.0,97,0,3,0,100,0,0,0,40,60,0,0,1,0,1,0,1,Local,5500.0,0,1,0,0,0,1,4000.0,1,100,100,1,0,0,60,40,0,0,0,0,1,1,1,0,0,0,5,0,1,0,0.0,0,0,1,9,3,1,4,8,7,5,2,6,4,4,7,3,6,4,2,1,5,5,1,0,7,3,6,4,2,1,5,9,10,13,14,3,11,5,2,12,15,7,6,1,4,8,90805,11000,12.0,0.0,4.0,0,0
Retail services,North Netherlands,Small,1,Partnership,100,1,1,0,0,0,1,100,0,0,2,14,0,49,1,1,0,0,0,0,0,0,1,100,900000.0,100,0,0,0,100,0,0,2,5,95,1,0,0,0,1,1,0,Local,5.0,1,0,1,0,1,0,0.0,0,100,100,0,1,1,0,0,0,0,100,1,1,0,0,0,0,1,1,0,1,0,0.0,0,0,0,8,4,7,5,2,3,1,9,6,2,2,1,6,7,5,2,3,4,0,0,0,1,6,7,5,2,3,4,13,4,7,14,12,3,11,10,6,9,1,2,8,15,5,35000,3500,4.0,0.0,49.0,0,1
Retail services,North Netherlands,Small,0,Partnership,100,1,1,0,0,0,0,100,0,1,2,23,0,47,2,1,0,1,0,0,0,0,1,100,985000.0,50,0,50,0,100,0,0,0,1,99,0,1,1,0,1,1,0,Local,5.0,0,1,1,1,1,1,15000.0,0,0,0,0,1,1,90,0,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0,0,1,4,9,6,3,8,5,7,1,2,6,5,4,6,2,3,1,5,7,3,1,1,4,6,2,3,1,5,7,12,13,14,3,15,5,7,1,2,11,6,4,10,8,9,190000,2000,52.0,0.0,22.0,0,1
Retail services,North Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,2,30,0,56,2,1,1,0,0,0,0,0,1,100,1000000.0,100,0,0,0,100,0,0,0,20,80,0,0,1,1,1,1,0,Local,2.0,0,1,1,1,1,1,5000.0,0,100,100,0,1,1,100,0,0,0,0,0,1,1,0,0,0,1,4,0,1,0,0.0,0,0,1,9,7,5,1,4,2,6,3,8,4,5,3,7,5,1,4,2,6,3,1,1,3,7,5,1,4,2,6,11,14,5,1,13,2,10,3,8,6,12,9,4,15,7,95000,10000,8.0,0.0,57.0,0,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,32,1,1,0,0,0,0,32,0,1,2,5,0,45,3,1,0,0,0,0,0,0,1,70,2100000.0,0,5,70,25,70,21,9,0,40,60,1,0,0,0,1,1,0,National,1.0,0,0,1,1,1,1,5000.0,0,0,0,0,0,0,100,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0.0,0,0,1,6,5,4,8,9,7,1,2,3,12,7,4,5,3,2,6,7,1,4,1,1,4,5,3,2,6,7,1,13,5,14,8,9,11,6,2,12,15,7,3,10,1,4,435000,0,8.0,0.0,4.0,1,1
Retail services,South Netherlands,Small,0,Partnership,100,0,1,0,0,0,1,100,0,1,1,30,0,52,1,1,0,0,0,0,0,0,1,13,1600000.0,99,1,0,0,90,10,0,0,30,70,0,0,0,0,1,1,0,Local,3.0,0,0,0,0,0,0,0.0,1,0,0,0,1,1,0,0,100,0,0,0,1,1,1,0,0,0,1,0,1,0,0.0,0,0,1,4,3,9,1,2,6,5,7,8,5,5,1,3,4,7,2,6,5,1,1,0,1,3,4,7,2,6,5,4,3,9,13,10,11,1,12,8,15,6,14,2,7,5,60000,5500,26.0,0.0,28.0,1,0
Manufacturing,East Netherlands,Small,0,Partnership,100,1,1,0,0,0,1,100,0,1,6,45,0,60,1,1,0,0,0,0,0,0,1,100,800000.0,88,0,2,10,100,0,0,0,70,30,1,1,0,1,0,1,0,Local,2.0,0,0,0,0,0,0,0.0,0,50,50,0,0,0,100,0,0,0,0,1,1,0,0,0,0,0,10,0,1,0,0.0,0,0,0,1,2,9,7,3,4,5,6,8,5,5,1,2,6,7,3,4,5,1,0,0,1,2,6,7,3,4,5,12,2,9,7,3,4,14,15,11,5,8,13,1,10,6,265000,40000,0.0,400000.0,30.0,0,0
Manufacturing,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,1,100,0,1,1,35,0,53,1,0,0,0,1,0,0,0,1,100,1350000.0,0,50,50,0,100,0,0,0,95,5,1,0,0,1,0,1,0,National,5.0,0,0,1,1,1,1,20000.0,0,100,100,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0.0,0,0,1,7,9,8,1,3,2,5,6,4,8,8,7,4,2,6,3,1,5,7,0,1,7,4,2,6,3,1,5,12,10,15,11,13,2,5,6,14,8,1,7,3,4,9,500000,14400,24.0,275000.0,27.0,0,1
Manufacturing,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,0,0,40,0,63,2,1,0,1,0,0,0,0,1,100,1500000.0,0,90,10,0,0,100,0,0,0,100,1,0,1,1,1,1,0,National,40.0,0,0,1,1,1,1,5000.0,0,100,100,0,1,0,100,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0,0,0,4,6,1,7,3,9,5,2,8,9,6,1,4,6,7,3,2,5,2,0,1,1,4,6,7,3,2,5,14,6,11,15,3,12,13,2,8,9,4,1,5,10,7,325000,20000,25.0,500000.0,97.0,1,1
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,2,1,0,47,3,1,0,0,1,0,0,0,0,99,770000.0,0,0,0,100,91,0,9,0,87,13,0,1,0,0,0,1,0,National,3.0,0,0,1,1,1,1,12000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.0,0,0,1,8,2,3,9,7,5,4,1,6,11,8,6,2,3,7,1,5,4,0,0,1,6,2,3,7,1,5,4,8,14,12,15,7,13,4,11,6,3,1,10,5,2,9,352000,7500,4.0,256000.0,30.0,1,1
Other services,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,67,1,1,0,0,0,1,67,0,1,1,7,0,42,3,1,0,1,0,0,0,0,1,99,466000.0,0,100,0,0,95,0,5,0,20,80,1,1,1,0,1,0,0,National,0.0,0,0,1,1,1,1,75000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,5,0,1,1,0.0,0,0,0,6,3,9,5,8,4,1,7,2,6,5,6,3,1,5,2,4,7,1,0,1,6,3,1,5,2,4,7,14,13,9,12,11,4,1,7,2,5,8,10,15,6,3,268000,5000,45.0,0.0,7.0,1,1
Other services,North Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,2,0,0,0,0,1,0,1,5,30,0,44,3,1,1,0,0,1,1,0,1,85,600000.0,85,15,0,0,100,0,0,0,100,0,1,1,1,1,1,1,0,National,12.0,1,0,1,1,1,1,400000.0,0,0,0,0,1,0,85,15,0,0,0,0,1,0,0,1,1,1,2,0,1,0,0.0,0,0,0,7,2,6,9,5,1,3,4,8,11,9,7,2,6,3,5,4,1,0,0,1,7,2,6,3,5,4,1,7,14,6,9,5,11,12,10,8,13,1,3,4,15,2,600000,6000,4.0,0.0,9.0,0,1
Manufacturing,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,100,0,0,1,100,0,1,5,34,0,59,3,1,1,0,1,0,0,0,1,100,3200000.0,0,100,0,0,40,0,60,0,25,75,1,0,0,0,1,1,0,International,10.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,80,0,0,20,0,1,1,1,1,0,0,1,10,1,1,0,0.0,0,0,1,5,9,3,7,8,2,4,6,1,22,20,5,6,1,7,3,2,4,7,1,1,5,6,1,7,3,2,4,5,1,13,7,15,12,11,6,4,9,10,2,14,3,8,900000,75000,13.0,4000000.0,35.0,1,0
Other services,East Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,30,0,49,1,1,0,0,0,0,0,0,1,100,5300000.0,1,60,15,24,80,15,5,1,0,100,1,0,0,0,1,1,1,National,25.0,0,0,1,1,1,1,5000.0,0,0,0,0,0,0,70,30,0,0,0,0,1,1,1,0,0,1,5,0,1,0,0.0,0,0,0,9,1,7,5,6,4,3,8,2,13,11,1,7,4,5,6,2,3,0,0,1,1,7,4,5,6,2,3,13,9,7,12,6,1,3,14,11,4,2,15,10,8,5,900000,5000,0.0,0.0,35.0,1,1
